col,sky,wavelength
737,0.495,11365.521
738,0.515,11364.107
739,0.469,11362.693
740,0.405,11361.28
741,0.441,11359.866
742,0.488,11358.452
743,0.584,11357.038
744,0.86,11355.625
745,1.01,11354.211
746,0.727,11352.798
747,0.457,11351.383
748,0.392,11349.97
749,0.384,11348.556
750,0.38,11347.143
751,0.377,11345.729
752,0.413,11344.315
753,0.428,11342.901
754,0.469,11341.487
755,0.469,11340.073
756,0.46,11338.659
757,0.469,11337.245
758,0.446,11335.831
759,0.494,11334.417
760,0.848,11333.003
761,1.37,11331.589
762,1.25,11330.175
763,0.683,11328.761
764,0.528,11327.347
765,0.53,11325.932
766,0.644,11324.518
767,0.77,11323.105
768,0.667,11321.69
769,0.526,11320.276
770,0.524,11318.862
771,0.547,11317.447
772,0.58,11316.033
773,0.797,11314.619
774,1.14,11313.204
775,1.03,11311.791
776,0.659,11310.376
777,0.565,11308.962
778,0.672,11307.548
779,0.785,11306.133
780,0.686,11304.719
781,0.527,11303.304
782,0.519,11301.889
783,0.641,11300.475
784,0.66,11299.06
785,0.583,11297.646
786,0.532,11296.231
787,0.579,11294.817
788,0.567,11293.402
789,0.619,11291.988
790,0.619,11290.573
791,0.602,11289.159
792,0.558,11287.744
793,0.518,11286.329
794,0.465,11284.915
795,0.521,11283.5
796,0.534,11282.085
797,0.474,11280.67
798,0.436,11279.256
799,0.47,11277.84
800,0.482,11276.426
801,0.454,11275.011
802,0.451,11273.596
803,0.527,11272.181
804,0.538,11270.766
805,0.488,11269.352
806,0.524,11267.936
807,0.507,11266.522
808,0.477,11265.106
809,0.441,11263.692
810,0.475,11262.276
811,0.518,11260.861
812,0.529,11259.446
813,0.487,11258.031
814,0.414,11256.616
815,0.427,11255.201
816,0.432,11253.786
817,0.486,11252.37
818,0.512,11250.955
819,0.537,11249.541
820,0.556,11248.125
821,0.553,11246.71
822,0.499,11245.294
823,0.514,11243.879
824,0.582,11242.464
825,0.539,11241.049
826,0.513,11239.633
827,0.464,11238.218
828,0.475,11236.803
829,0.526,11235.387
830,0.537,11233.971
831,0.525,11232.556
832,0.55,11231.141
833,0.559,11229.725
834,0.517,11228.309
835,0.432,11226.894
836,0.463,11225.478
837,0.469,11224.063
838,0.493,11222.647
839,0.511,11221.232
840,0.492,11219.816
841,0.52,11218.4
842,0.538,11216.985
843,0.565,11215.569
844,0.519,11214.154
845,0.559,11212.738
846,0.625,11211.322
847,0.607,11209.906
848,0.573,11208.49
849,0.554,11207.074
850,0.547,11205.659
851,0.527,11204.243
852,0.481,11202.827
853,0.5,11201.411
854,0.517,11199.995
855,0.552,11198.579
856,0.564,11197.164
857,0.542,11195.748
858,0.517,11194.332
859,0.463,11192.915
860,0.468,11191.499
861,0.514,11190.083
862,0.558,11188.667
863,0.571,11187.251
864,0.562,11185.835
865,0.533,11184.419
866,0.526,11183.003
867,0.568,11181.586
868,0.573,11180.17
869,0.571,11178.754
870,0.594,11177.337
871,0.58,11175.921
872,0.537,11174.505
873,0.537,11173.089
874,0.544,11171.673
875,0.567,11170.256
876,0.557,11168.84
877,0.514,11167.424
878,0.52,11166.007
879,0.521,11164.59
880,0.571,11163.174
881,0.591,11161.757
882,0.599,11160.341
883,0.635,11158.924
884,0.759,11157.508
885,0.837,11156.091
886,0.754,11154.675
887,0.596,11153.258
888,0.561,11151.842
889,0.58,11150.425
890,0.605,11149.008
891,0.639,11147.592
892,0.628,11146.175
893,0.632,11144.758
894,0.684,11143.342
895,0.75,11141.925
896,0.788,11140.508
897,0.726,11139.091
898,0.632,11137.674
899,0.617,11136.258
900,0.628,11134.841
901,0.624,11133.424
902,0.618,11132.007
903,0.659,11130.59
904,0.619,11129.173
905,0.618,11127.757
906,0.648,11126.34
907,0.668,11124.923
908,0.672,11123.506
909,0.644,11122.088
910,0.681,11120.671
911,0.66,11119.254
912,0.671,11117.837
913,0.665,11116.42
914,0.659,11115.003
915,0.657,11113.586
916,0.674,11112.169
917,0.672,11110.751
918,0.664,11109.334
919,0.64,11107.917
920,0.627,11106.499
921,0.616,11105.082
922,0.691,11103.665
923,0.703,11102.248
924,0.691,11100.83
925,0.694,11099.413
926,0.681,11097.996
927,0.649,11096.578
928,0.702,11095.16
929,0.737,11093.743
930,0.893,11092.326
931,1.26,11090.908
932,1.35,11089.491
933,0.932,11088.073
934,0.694,11086.655
935,0.703,11085.238
936,0.73,11083.82
937,0.728,11082.403
938,0.681,11080.985
939,0.68,11079.567
940,0.686,11078.15
941,0.705,11076.732
942,0.746,11075.315
943,0.923,11073.897
944,1.1,11072.479
945,1.01,11071.061
946,0.801,11069.644
947,0.735,11068.226
948,0.722,11066.808
949,0.699,11065.39
950,0.713,11063.972
951,0.719,11062.554
952,0.694,11061.136
953,0.681,11059.719
954,0.699,11058.3
955,0.708,11056.882
956,0.694,11055.464
957,0.746,11054.047
958,0.725,11052.628
959,0.714,11051.21
960,0.717,11049.792
961,0.722,11048.374
962,0.749,11046.956
963,0.784,11045.538
964,0.708,11044.12
965,0.688,11042.702
966,0.756,11041.283
967,0.749,11039.865
968,0.736,11038.447
969,0.724,11037.029
970,0.734,11035.61
971,0.777,11034.192
972,0.896,11032.773
973,1.44,11031.355
974,1.92,11029.937
975,1.57,11028.518
976,0.914,11027.1
977,0.766,11025.681
978,0.787,11024.263
979,0.796,11022.845
980,0.752,11021.426
981,0.738,11020.008
982,0.713,11018.589
983,0.709,11017.171
984,0.729,11015.752
985,0.704,11014.334
986,0.754,11012.915
987,0.948,11011.496
988,1.17,11010.077
989,1.18,11008.659
990,0.892,11007.24
991,0.72,11005.821
992,0.752,11004.403
993,0.764,11002.984
994,0.723,11001.565
995,0.715,11000.147
996,0.714,10998.728
997,0.705,10997.309
998,0.711,10995.89
999,0.726,10994.471
1000,0.758,10993.052
1001,0.727,10991.633
1002,0.728,10990.214
1003,0.734,10988.795
1004,0.75,10987.376
1005,0.747,10985.957
1006,0.716,10984.538
1007,0.761,10983.119
1008,0.747,10981.7
1009,0.768,10980.281
1010,0.811,10978.862
1011,1.32,10977.443
1012,2.3,10976.023
1013,2.25,10974.605
1014,1.31,10973.185
1015,0.816,10971.766
1016,0.773,10970.347
1017,0.803,10968.927
1018,0.781,10967.508
1019,0.748,10966.089
1020,0.723,10964.67
1021,0.717,10963.251
1022,0.694,10961.831
1023,0.707,10960.412
1024,0.707,10958.992
1025,0.742,10957.573
1026,0.74,10956.154
1027,0.752,10954.734
1028,0.952,10953.315
1029,1.31,10951.895
1030,1.27,10950.476
1031,0.92,10949.056
1032,0.814,10947.636
1033,0.789,10946.217
