lk,ukf_a0v,uks_a0v , fh,fl, fc
3695,0.916081,0,0.916081,0,0
3700,0.920332,0,0.920332,0,0
3705,0.942691,0.029484,0.942691,0,0
3710,0.962079,0.03517,0.962079,0,0
3715,1.006473,0.043246,1.006473,0,0
3720,1.015919,0.033256,1.015919,0,0
3725,1.066856,0.052393,1.066856,0,0
3730,1.07168,0.053043,1.07168,0,0
3735,1.02315,0.002509,1.02315,0,0
3740,1.15286,0.052118,1.15286,0,0
3745,1.121979,0.03707,1.121979,0,0
3750,1.014114,0.032051,1.014114,0,0
3755,1.176449,0,1.176449,0,0
3760,1.308511,0.026223,1.308511,0,0
3765,1.20392,0.018269,1.20392,0,0
3770,1.058592,0.009433,1.058592,0,0
3775,1.254845,0.011296,1.254845,0,0
3780,1.547439,0.065271,1.547439,0,0
3785,1.629362,0.08909,1.629362,0,0
3790,1.421449,0.061982,1.421449,0,0
3795,1.132716,0.009318,1.132716,0,0
3800,1.151134,0.002537,1.151134,0,0
3805,1.51222,0.065991,1.51222,0,0
3810,1.808515,0.113027,1.808515,0,0
3815,1.906824,0.098805,1.906824,0,0
3820,1.848355,0.102683,1.848355,0,0
3825,1.605863,0.094708,1.605863,0,0
3830,1.239301,0.015795,1.239301,0,0
3835,1.024814,0.03347,1.024814,0,0
3840,1.288405,0.040168,1.288405,0,0
3845,1.665269,0.074716,1.665269,0,0
3850,1.967488,0.091362,1.967488,0,0
3855,2.133631,0.097376,2.133631,0,0
3860,2.222178,0.109504,2.222178,0,0
3865,2.2409,0.117227,2.2409,0,0
3870,2.131039,0.102634,2.131039,0,0
3875,1.892601,0.081989,1.892601,0,0
3880,1.56164,0.035173,1.56164,0,0
3885,1.171697,0.015594,1.171697,0,0
3890,1.066769,0.025949,1.066769,0,0
3895,1.381757,0.05141,1.381757,0,0
3900,1.757191,0.084669,1.757191,0,0
3905,2.015894,0.101267,2.015894,0,0
3910,2.211767,0.099609,2.211767,0,0
3915,2.313839,0.094064,2.313839,0,0
3920,2.364872,0.110402,2.364872,0,0
3925,2.32377,0.153962,2.32377,0,0
3930,2.086366,0.126855,2.086366,0,0
3935,2.056262,0.156892,2.056262,0,0
3940,2.212616,0.159694,2.212616,0,0
3945,2.212184,0.102809,2.212184,0,0
3950,2.072719,0.06108,2.072719,0,0
3955,1.877199,0.062097,1.877199,0,0
3960,1.55922,0.020361,1.55922,0,0
3965,1.143353,0.02825,1.143353,0,0
3970,0.985721,0.036184,0.985721,0,0
3975,1.275134,0.030899,1.275134,0,0
3980,1.649597,0.039335,1.649597,0,0
3985,1.946936,0.042056,1.946936,0,0
3990,2.155706,0.051058,2.155706,0,0
3995,2.272316,0.048353,2.272316,0,0
4000,2.340788,0.053371,2.340788,0,0
4005,2.3644,0.079253,2.3644,0,0
4010,2.392617,0.08863,2.392617,0,0
4015,2.402697,0.094821,2.402697,0,0
4020,2.406213,0.10472,2.406213,0,0
4025,2.385914,0.099253,2.385914,0,0
4030,2.363976,0.100826,2.363976,0,0
4035,2.362967,0.119841,2.362967,0,0
4040,2.357623,0.119683,2.357623,0,0
4045,2.349137,0.09979,2.349137,0,0
4050,2.356597,0.088697,2.356597,0,0
4055,2.33783,0.059907,2.33783,0,0
4060,2.307925,0.056069,2.307925,0,0
4065,2.256997,0.055298,2.256997,0,0
4070,2.182526,0.035148,2.182526,0,0
4075,2.097172,0.015335,2.097172,0,0
4080,2.005089,0.021031,2.005089,0,0
4085,1.871567,0.02982,1.871567,0,0
4090,1.642101,0.044777,1.642101,0,0
4095,1.327834,0.09732,1.327834,0,0
4100,1.073181,0.140718,1.073181,0,0
4105,1.113944,0.032936,1.113944,0,0
4110,1.364009,0.122877,1.364009,0,0
4115,1.621284,0.176463,1.621284,0,0
4120,1.831318,0.151982,1.831318,0,0
4125,1.968552,0.084405,1.968552,0,0
4130,2.060154,0.02955,2.060154,0,0
4135,2.15128,0.030634,2.15128,0,0
4140,2.214909,0.032589,2.214909,0,0
4145,2.249613,0.037404,2.249613,0,0
4150,2.268199,0.05126,2.268199,0,0
4155,2.269451,0.066339,2.269451,0,0
4160,2.269143,0.069027,2.269143,0,0
4165,2.263573,0.063775,2.263573,0,0
4170,2.225933,0.061108,2.225933,0,0
4175,2.195532,0.053204,2.195532,0,0
4180,2.1812,0.033301,2.1812,0,0
4185,2.18156,0.016382,2.18156,0,0
4190,2.199191,0.018312,2.199191,0,0
4195,2.208719,0.026605,2.208719,0,0
4200,2.211377,0.057886,2.211377,0,0
4205,2.247003,0.068836,2.247003,0,0
4210,2.257165,0.069407,2.257165,0,0
